timestamp,FEC_seq_num,status,recover_seq_num,protect_seq_nums,decode_time,search_time,fec_store_time
1772702687917722,12326,fail_NoLoss,,12296_12298_12299_12300_12301_12302_12303_12305_12306_12307_12308_12309_12310_12312_12313_12314_12315_12316_12317_12319_12320,,,43000
1772702687980170,12334,fail_NoLoss,,12303_12305_12306_12307_12308_12309_12310_12312_12313_12314_12315_12316_12317_12319_12320_12321_12322_12323_12324_12325_12327,,,42000
1772702687990452,12335,success,12332,12310_12312_12313_12314_12315_12316_12317_12319_12320_12321_12322_12323_12324_12325_12327_12328_12329_12330_12331_12332_12333,186000,6000,236000
1772702688117093,12350,success,12341,12324_12325_12327_12328_12329_12330_12331_12332_12333_12336_12337_12338_12339_12340_12341_12343_12344_12345_12346_12347_12348,195000,6000,253000
1772702688198462,12359,success,12353,12331_12332_12333_12336_12337_12338_12339_12340_12341_12343_12344_12345_12346_12347_12348_12349_12351_12352_12353_12354_12355,167000,5000,220000
1772702688244752,12364,fail_NoLoss,,12339_12340_12341_12343_12344_12345_12346_12347_12348_12349_12351_12352_12353_12354_12355_12356_12357_12358_12360_12361_12362,,,36000
1772702688325604,12371,fail_NoLoss,,12346_12347_12348_12349_12351_12352_12353_12354_12355_12356_12357_12358_12360_12361_12362_12363_12365_12366_12367_12368_12369,,,46000
1772702688486265,12388,fail_NoLoss,,12353_12354_12355_12356_12357_12358_12360_12361_12362_12363_12365_12366_12367_12368_12369_12370_12372_12373_12374_12375_12376,,,35000
1772702688525799,12391,success,12379,12360_12361_12362_12363_12365_12366_12367_12368_12369_12370_12372_12373_12374_12375_12376_12377_12378_12379_12380_12381_12382,182000,4000,255000
1772702688528355,12393,fail_NoLoss,,12367_12368_12369_12370_12372_12373_12374_12375_12376_12377_12378_12379_12380_12381_12382_12383_12384_12385_12386_12387_12389,,,28000
1772702688575536,12398,fail_NoLoss,,12374_12375_12376_12377_12378_12379_12380_12381_12382_12383_12384_12385_12386_12387_12389_12390_12392_12394_12395_12396_12397,,,35000
