timestamp,frame_num,decode_duration
1773458963831716,1063,61
1773458963833660,1064,57
1773458963835661,1065,58
1773458963846419,1066,123
1773458963854400,1067,61
1773458963859503,1069,28
1773458963861268,1070,27
1773458963862984,1071,31
1773458963965283,1079,507
1773458964247912,1082,1121
1773458964327265,1084,27
1773458964338001,1085,27
1773458964345184,1086,26
1773458964350804,1087,27
1773458964404396,1088,29
1773458964407396,1089,30
1773458964456275,1090,31
1773458964652088,1094,68
1773458964877451,1095,1941
1773458964877662,1097,167
1773458965392121,1100,98
1773458965409228,1099,1122
1773458965556282,1102,1097
1773458965800026,1105,183
1773458966710413,1103,1075
1773458966712519,1106,2062
1773458966752346,1107,119
1773458966810519,1108,214
1773458967053796,1110,1166
1773458967181208,1112,765
1773458967264481,1113,1048
1773458968152589,1117,2059
1773458968315272,1118,501
1773458969084229,1121,1051
1773458969291366,1122,625
1773458969848493,1123,1751
1773458970120973,1125,964
1773458970646348,1127,716
1773458970987395,1130,772
1773458971227157,1131,924
1773458971584898,1132,1390
1773458971953954,1135,1459
1773458972107152,1136,829
1773458972580779,1137,1439
1773458972978806,1138,1109
1773458973626083,1140,1036
1773458974284131,1143,1232
1773458974673577,1144,1252
1773458974942165,1146,1158
1773458975033604,1147,450
1773458975436821,1153,26
1773458975484022,1150,570
1773458975501153,1154,26
1773458975541972,1151,712
1773458975576916,1155,27
1773458975702819,1156,28
1773458975808309,1160,124
1773458975850234,1163,91
1773458975866731,1164,154
1773458975898681,1168,90
1773458975910061,1169,120
1773458975931788,1171,88
1773458975944323,1173,57
1773458975948769,1174,59
1773458976042457,1179,62
1773458976058094,1177,795
1773458976179778,1192,61
1773458976217661,1195,227
1773458976220910,1196,65
1773458976264202,1202,90
1773458976293672,1204,57
1773458976315192,1206,118
1773458976328881,1208,63
1773458976348032,1212,57
1773458976371383,1217,59
1773458976377601,1219,103
1773458976413928,1226,63
1773458976416273,1227,87
1773458976435856,1232,30
1773458976438498,1233,31
1773458976440863,1234,55
1773458976451893,1236,59
1773458976485678,1239,89
1773458976488223,1243,59
1773458976496627,1245,39
1773458976504550,1247,53
1773458976513804,1250,28
1773458976523722,1253,32
1773458976528873,1255,63
1773458976546862,1258,25
1773458976548730,1259,25
1773458976550986,1260,27
1773458976553217,1261,25
1773458976555247,1262,26
1773458976557277,1263,39
1773458976979885,1264,33
1773458976981307,1265,26
1773458976982715,1266,28
1773458977077825,1267,672
1773458977250345,1269,118
1773458977587243,1272,91
1773458978211672,1276,124
1773458978449099,1283,67
1773458978584613,1286,131
1773458978629126,1287,153
1773458979012398,1296,154
1773458979052476,1297,158
1773458979134799,1299,218
1773458979592616,1309,100
1773458979838179,1312,447
1773458980088963,1319,275
1773458980338446,1323,151
1773458980357817,1324,124
1773458981263416,1332,95
1773458981315464,1335,120
1773458981353262,1338,150
1773458981386726,1340,257
1773458981573541,1352,124
1773458981732380,1356,150
1773458981848717,1360,167
1773458982510781,1366,87
1773458982670809,1368,320
1773458982864136,1371,169
1773458983254435,1374,151
1773458983396815,1376,222
1773458983497824,1377,635
1773458983502337,1378,29
1773458983517099,1380,153
1773458983755828,1384,315
1773458983858129,1386,280
1773458983950221,1389,185
1773458984031698,1391,288
1773458984262995,1396,438
1773458984308438,1398,310
1773458984370634,1399,187
1773458984485815,1402,291
1773458984538328,1403,503
1773458984578646,1404,159
1773458984629116,1405,345
1773458984980420,1412,454
1773458985023014,1414,119
1773458985178685,1417,226
1773458985228365,1419,215
1773458985315304,1421,396
1773458985454097,1424,152
1773458985581374,1426,890
1773458985594161,1427,54
1773458985636260,1428,89
1773458985951788,1432,565
1773458986579080,1446,87
1773458986619608,1447,380
1773458986901367,1455,612
1773458986910229,1456,30
1773458986924833,1457,90
1773458986971317,1458,208
1773458987098422,1460,27
1773458987117735,1461,63
1773458987131063,1462,184
1773458987410433,1468,29
1773458987573457,1471,26
1773458987687663,1474,31
1773458987820726,1477,30
1773458987824747,1478,90
1773458987828895,1479,122
1773458988039755,1482,429
1773458988062538,1484,155
1773458988162545,1487,314
1773458988335751,1490,152
1773458988584220,1497,258
1773458988722439,1500,275
1773458989066230,1507,282
1773458989141792,1509,283
1773458989317465,1513,314
1773458989493770,1515,1598
1773458989677250,1517,240
1773458989795261,1520,184
1773458989866294,1522,252
1773458989897547,1523,288
1773458989980567,1526,289
1773458990059842,1528,326
1773458990180553,1533,274
1773458990420109,1538,289
1773458990717064,1539,222
1773458991037884,1543,247
1773458991327567,1550,260
1773458991417775,1554,284
1773458991459997,1555,332
1773458991522468,1557,346
1773458991682996,1561,276
1773458991738182,1562,338
1773458991766674,1563,317
1773458992114535,1569,338
1773458992139892,1570,315
1773458992358906,1577,352
1773458992430235,1579,284
1773458992639367,1584,349
1773458993143524,1590,119
1773458993301293,1593,220
1773458993349155,1596,214
1773458993444202,1600,288
1773458993785341,1611,284
1773458993860783,1613,350
1773458994174973,1618,280
1773458994250530,1621,193
1773458994350733,1625,321
1773458994479213,1627,318
1773458994646479,1633,250
1773458994684150,1634,294
1773458994991495,1641,279
1773458995163575,1642,377
1773458995400270,1643,1253
1773458995616903,1645,59
1773458995692976,1648,193
1773458995713577,1649,204
1773458995766535,1651,217
1773458995889018,1655,305
1773458995930666,1657,262
1773458995974677,1658,347
1773458996079285,1661,354
1773458996106233,1662,182
1773458996197460,1666,283
1773458996313775,1667,285
1773458996347509,1668,286
1773458996427599,1670,160
1773458996529711,1673,317
1773458996779270,1676,374
1773458996855018,1679,344
1773458996907097,1680,374
1773458997053730,1684,411
1773458998007548,1691,337
1773458998165898,1696,416
1773458998229336,1698,373
1773458998279107,1699,365
1773458998388622,1702,322
1773458998433781,1704,153
1773458998546999,1707,513
1773458998688854,1709,699
1773458998787499,1714,156
1773458999159022,1731,276
1773458999236770,1734,253
1773458999251738,1735,260
1773458999468695,1738,224
1773458999489517,1739,125
1773458999495020,1740,61
1773458999506008,1741,117
1773459000496189,1746,907
1773459001353265,1762,58
1773459001358568,1763,66
1773459001375759,1764,87
1773459001504161,1770,173
1773459001623472,1774,279
1773459001702986,1776,214
1773459001802996,1779,222
1773459002129619,1788,190
1773459002450140,1797,196
1773459003019325,1808,28
1773459003020374,1810,999
1773459003317370,1809,309
1773459003324172,1813,174
1773459003534121,1817,170
1773459003567976,1818,555
